Well,DELTA,FLUO^O,STDEV%,STDEV
2- B6,-0.015861879,9976.75,-77.94280549,0.012182422
2- B7,-0.008412413,4873.75,-109.9117589,0.009225437
2- B8,0.262154233,2386,3.52715506,0.009252963
2- B9,-0.024679925,10798.25,-40.16042262,0.009971152
2- B10,0.001487588,8066.75,471.293889,0.00721972
2- B11,0.00261233,957,500.1104113,0.012154296
2- B12,0.294654009,2001.5,3.906237508,0.011512444
2- C1,0.024891462,2591.25,56.17009978,0.014030078
2- C2,0.045865184,359.75,64.76712864,0.03009111
2- C3,-0.02283105,438,-75.50528738,0.017367697
2- C4,-0.004598031,3479.75,-207.6061098,0.009031279
2- C5,-0.013115803,6252,-115.908531,0.015092859
2- C6,0.001878522,399.25,1195.427489,0.032751698
2- C7,0.444498991,4583.25,1.252455557,0.005566867
2- C8,0.016464891,1548.75,97.80623279,0.015865295
2- C9,0.007692308,4192.5,186.1692001,0.013843703
2- C10,0.460901826,2628,8.209024205,0.037922385
2- C11,-0.020304431,9197.5,-8.230041716,0.001670379
2- C12,0.098634837,3497.75,22.62074432,0.022280388
2- D1,0.394919824,1761.75,4.053436799,0.016010222
2- D2,-0.008448017,3669.5,-79.29871137,0.006716925
2- D3,-0.01554903,10386.5,-59.29659739,0.009222476
2- D4,-0.024349487,6283.5,-7.942269753,0.001932134
2- D5,0.002555408,5087.25,600.3036708,0.017060352
2- D6,-0.028863985,3100.75,-38.4570602,0.01116867
2- D7,0.507233273,2765,2.690596728,0.013653398
2- D8,0.02319543,5777,44.43034355,0.010253859
2- D9,0.13984439,1221,15.43810694,0.021649656
2- D10,0.327310156,1093,4.629093787,0.015159818
2- D11,-0.006087961,2381.75,-274.4402209,0.016832278
2- D12,0.114336527,4357.75,9.550483642,0.010946883
2- E1,-0.010348831,4952.25,-87.53243442,0.009178808
2- E2,0.414917264,2024.5,1.373603941,0.005701347
2- E3,-0.002729821,3388.5,-326.2008785,0.008620389
2- E4,0.020061796,5744.75,73.78438453,0.014850325
2- E5,0.02238806,804,76.02934618,0.017150974
2- E6,0.351470438,2439.75,4.934721176,0.017361636
2- E7,0.003975065,2767.25,398.8990994,0.016154666
2- E8,-0.24137931,7.25,-77.90147016,0.150702249
2- E9,0.089260006,1736.5,17.73546113,0.015891394
2- E10,-0.000603072,7047.25,-1403.198219,0.008318995
2- E11,0.001093448,5944.5,1388.136746,0.013286849
2- E12,-0.011919179,3922.25,-71.71152851,0.008538204
2- F1,-0.004834811,1861.5,-499.5945566,0.021805902
2- F2,0.016955241,3479.75,116.7908111,0.019767146
2- F3,0.008951343,4999.25,259.175602,0.023547359
2- F4,-0.000100627,7453.25,-11479.23858,0.011253338
2- F5,-0.004441054,9175.75,-129.4331214,0.005641115
2- F6,-0.004332611,3000.5,-127.915022,0.005508251
2- F7,-0.008525127,9765.25,-75.11310818,0.006507882
2- F8,0.002412457,10259.25,202.9850232,0.004929981
2- F9,-0.001233322,2229.75,-1783.450734,0.020411162
2- F10,0.256375967,2617.25,9.21150351,0.023658874
2- F11,0.013980758,3326,37.62674616,0.005285157
2- F12,0.208239554,2554.75,4.479789172,0.009330899
2- G1,0.063812956,2844.25,16.89998243,0.010790311
2- G2,0.003185104,4081.5,245.2589897,0.007671244
2- G3,-0.003375875,6072.5,-273.9694031,0.009714913
2- G4,0,2619.5,-18834.65542,0.017344802
2- G5,-0.176470588,12.75,-182.422399,0.30946657
2- G6,0.008131417,3043.75,134.8429406,0.011344183
2- G7,-0.005703649,10475.75,-186.3023234,0.010563637
2- G8,0.019132217,2927,63.33295984,0.012065804
2- G9,-0.001367557,2376.5,-463.2284448,0.006305857
2- G10,0.009735654,3877.5,80.2614014,0.007748288
2- G11,-0.020157602,7106.5,-53.63044223,0.010883007
2- G12,0.012632122,1939.5,130.9737034,0.01647184
2- H1,0.261675315,2360.75,6.145575283,0.016091636
2- H2,0.026390812,3069.25,31.13131929,0.00822438
