Well,DELTA,FLUO^O,STDEV%,STDEV
6- B1,0.180286006,489.5,16.61618787,0.029957723
6- B2,-0.003684089,4343,-732.2546484,0.024974762
6- B3,-0.003826898,8688.5,-237.6123959,0.008654036
6- B4,-0.004853893,5099,-356.5334103,0.016335274
6- B5,-0.007651605,6567.25,-161.7197262,0.012220923
6- B6,0.01958042,5898.75,47.23757234,0.009317963
6- B7,0.002366864,2323.75,220.2985872,0.005028794
6- B8,0.368705425,1156.75,7.25622515,0.02680343
6- B9,-0.003586066,3416,-201.7593557,0.007098317
6- B10,-0.001582131,2686.25,-755.6415944,0.011428836
6- B11,-0.014384921,2520,-65.86669245,0.009334236
6- B12,-0.018613505,4727.75,-42.91141453,0.007954933
6- C1,0.015875641,4535.25,30.70795406,0.004901713
6- C2,0.477331657,3181.75,3.143359371,0.015001701
6- C3,0.462898232,2503.25,3.087184153,0.01428796
6- C4,-0.006868018,6042.5,-139.9742525,0.009514736
6- C5,0.000658979,5311.25,1535.673503,0.009207095
6- C6,0.442338533,1714.75,4.365546826,0.019305422
6- C7,-0.007079592,8157.25,-133.7732631,0.009169882
6- C8,0.009151114,4152.5,145.1864058,0.013683612
6- C9,-0.01981723,4869.5,-33.63091145,0.006675889
6- C10,0.432372246,2133,5.097442032,0.022038749
6- C11,0.352179034,2334.75,3.628709162,0.012776808
6- C12,-0.009126318,8793.25,-128.3527446,0.011685434
6- D1,-0.002634583,8540.25,-194.8150966,0.005245359
6- D2,-0.00756843,10339,-111.5908589,0.008394695
6- D3,0.426628106,2334,7.19518328,0.030687508
6- D4,0.001499761,3667.25,296.3993578,0.004414471
6- D5,0.00675243,4294.75,263.7073911,0.018069723
6- D6,0.005566975,2919,126.7369383,0.007005032
6- D7,0.448313384,2067.75,4.731434217,0.021221311
6- D8,0.010905125,3897.25,34.27786709,0.00372711
6- D9,0.077044025,3021,8.52703272,0.006569749
6- D10,-0.007388926,5210.5,-152.8867573,0.011508393
6- D11,0.037887486,653.25,54.0783818,0.020258195
6- D12,0.057786991,1929.5,227.1778647,0.182787498
6- E1,-0.0001005,9950.25,-15161.33179,0.008468905
6- E2,0.014843921,1145.25,159.3523815,0.023092514
6- E3,0.01507474,1973.5,124.1975509,0.017962586
6- E4,0.026057953,2398.5,76.44172336,0.020128206
6- E5,0.405996252,400.25,10.68712161,0.043532462
6- E6,-0.010197087,2917.5,-164.5215353,0.01660715
6- E7,0.286928105,1912.5,4.53805419,0.013020931
6- E8,0.216015451,1682.75,5.761334306,0.012451258
6- E9,0.003515533,7395.75,217.8790461,0.007440438
6- E10,0.007004405,5675,116.9375584,0.008261281
6- E11,0.184293607,633.5,9.917207315,0.018302818
6- E12,0.010126089,5135.25,68.57739618,0.007030432
6- F1,-0.018153181,9364.75,-71.34749516,0.012972908
6- F2,0.009337471,8701.5,114.4955609,0.010823697
6- F3,0.011113293,6366.25,95.710246,0.010828761
6- F4,0.044860328,1816.75,41.18887781,0.018671404
6- F5,-0.006086337,8420.5,-43.84142109,0.002675871
6- F6,0.005654341,3360.25,184.5470241,0.01085577
6- F7,0.001999692,4875.75,415.232283,0.009559237
6- F8,0.115792759,4005,9.41640436,0.010900186
6- F9,0.40868984,1870,10.72828974,0.043924164
6- F10,0.028744726,948,39.31987109,0.011310112
6- F11,0.429897986,1911.5,4.161946945,0.01789974
6- F12,-0.003700864,9457.25,-240.6271695,0.008745634
6- G1,0.457413249,1505.75,4.699177167,0.02150602
6- G2,0.467105263,3078,3.452874938,0.016130223
6- G3,0.440797812,3747.75,1.83638465,0.008094515
6- G4,0.459776192,2837.25,2.773697497,0.012755951
6- G5,0.005941455,5175.5,178.9567326,0.010457983
6- G6,-0.004568865,6019,-128.3495632,0.005859293
6- G7,-0.008654336,2946.5,-175.428425,0.01483481
6- G8,-0.003378629,6733.5,-211.7940725,0.007349154
6- G9,0.005385271,5570.75,199.1163538,0.010641001
6- G10,0.003230846,7041.5,371.5837478,0.012206252
6- G11,0.010478685,4199,84.48046906,0.008918806
6- G12,0.005415488,4154.75,103.0398227,0.005578023
6- H1,0.381487126,3116.75,22.8485144,0.087542528
6- H2,-0.005874612,5319.5,-43.42668288,0.002573267
6- H3,-0.007782966,7869.75,-94.49421188,0.007371125
6- H4,0.000269415,3711.75,1984.240239,0.005614037
6- H5,0.016875153,5096.25,64.78602778,0.011129254
6- H6,0.436508533,3325.25,4.802186481,0.020969998
6- H7,0.443852493,3003.25,5.304724105,0.023559581
6- H8,0.020272795,2676,63.72271951,0.012966569
6- H9,0.00603696,9483.25,127.1008745,0.007672176
6- H10,-0.004926387,4415,-47.68650422,0.00235561
6- H11,0.023255814,21.5,310.6178072,0.180739601
6- H12,0.555555556,22.5,60.62346195,0.352935607
